timestamp,where,error,traceback
2025-12-20 17:19:08,Auto backfill + train failed,Failed baseline download: SPY (spy.us),"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4076, in <module>
    dataset = build_backfill_dataset(
        tickers=tickers_auto,
    ...<3 lines>...
        cache_dir=auto_backfill_cache_dir or STOOQ_CACHE_DIR,
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\market_ai\\backfill_ai.py"", line 215, in build_backfill_dataset
    raise RuntimeError(f""Failed baseline download: {baseline} ({b_sym})"")
RuntimeError: Failed baseline download: SPY (spy.us)
"
2025-12-20 17:19:18,Meta training failed,Not enough known outcomes yet (0/80). Track more weeks.,"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 3024, in <module>
    m = train_meta_model_from_pred_log(min_rows=80)
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 1835, in train_meta_model_from_pred_log
    raise RuntimeError(f""Not enough known outcomes yet ({len(done)}/{min_rows}). Track more weeks."")
RuntimeError: Not enough known outcomes yet (0/80). Track more weeks.
"
2025-12-20 17:19:30,Auto backfill + train failed,Failed baseline download: SPY (spy.us),"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4076, in <module>
    dataset = build_backfill_dataset(
        tickers=tickers_auto,
    ...<3 lines>...
        cache_dir=auto_backfill_cache_dir or STOOQ_CACHE_DIR,
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\market_ai\\backfill_ai.py"", line 215, in build_backfill_dataset
    raise RuntimeError(f""Failed baseline download: {baseline} ({b_sym})"")
RuntimeError: Failed baseline download: SPY (spy.us)
"
2025-12-20 17:19:43,Backfill prices+news failed,Expecting value: line 1 column 1 (char 0),"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\.venv\\Lib\\site-packages\\requests\\models.py"", line 976, in json
    return complexjson.loads(self.text, **kwargs)
           ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\__init__.py"", line 346, in loads
    return _default_decoder.decode(s)
           ~~~~~~~~~~~~~~~~~~~~~~~^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\decoder.py"", line 345, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
               ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\decoder.py"", line 363, in raw_decode
    raise JSONDecodeError(""Expecting value"", s, err.value) from None
json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4137, in <module>
    res = backfill_company(spec, news_days=news_days)
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\backfill.py"", line 34, in backfill_company
    raw_news = fetch_news_gdelt(
        ticker=spec.ticker,
    ...<2 lines>...
        days=news_days,
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\sources_news_gdelt.py"", line 48, in fetch_news_gdelt
    data = r.json()
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\.venv\\Lib\\site-packages\\requests\\models.py"", line 980, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
requests.exceptions.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
"
2025-12-20 17:19:49,Auto backfill + train failed,Failed baseline download: SPY (spy.us),"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4076, in <module>
    dataset = build_backfill_dataset(
        tickers=tickers_auto,
    ...<3 lines>...
        cache_dir=auto_backfill_cache_dir or STOOQ_CACHE_DIR,
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\market_ai\\backfill_ai.py"", line 215, in build_backfill_dataset
    raise RuntimeError(f""Failed baseline download: {baseline} ({b_sym})"")
RuntimeError: Failed baseline download: SPY (spy.us)
"
2025-12-20 17:36:18,Auto backfill + train failed,Failed baseline download: SPY (spy.us),"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4268, in <module>
    dataset = build_backfill_dataset(
        tickers=tickers_auto,
    ...<3 lines>...
        cache_dir=auto_backfill_cache_dir or STOOQ_CACHE_DIR,
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\market_ai\\backfill_ai.py"", line 215, in build_backfill_dataset
    raise RuntimeError(f""Failed baseline download: {baseline} ({b_sym})"")
RuntimeError: Failed baseline download: SPY (spy.us)
"
2025-12-20 19:14:00,Backfill prices+news failed,Expecting value: line 1 column 1 (char 0),"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\.venv\\Lib\\site-packages\\requests\\models.py"", line 976, in json
    return complexjson.loads(self.text, **kwargs)
           ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\__init__.py"", line 346, in loads
    return _default_decoder.decode(s)
           ~~~~~~~~~~~~~~~~~~~~~~~^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\decoder.py"", line 345, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
               ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\decoder.py"", line 363, in raw_decode
    raise JSONDecodeError(""Expecting value"", s, err.value) from None
json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4390, in <module>
    res = backfill_company(spec, news_days=news_days)
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\backfill.py"", line 34, in backfill_company
    raw_news = fetch_news_gdelt(
        ticker=spec.ticker,
    ...<2 lines>...
        days=news_days,
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\sources_news_gdelt.py"", line 48, in fetch_news_gdelt
    data = r.json()
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\.venv\\Lib\\site-packages\\requests\\models.py"", line 980, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
requests.exceptions.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
"
2025-12-20 19:52:19,Backfill prices+news failed,Expecting value: line 1 column 1 (char 0),"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\.venv\\Lib\\site-packages\\requests\\models.py"", line 976, in json
    return complexjson.loads(self.text, **kwargs)
           ~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\__init__.py"", line 346, in loads
    return _default_decoder.decode(s)
           ~~~~~~~~~~~~~~~~~~~~~~~^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\decoder.py"", line 345, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
               ~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\\Users\\matty\\AppData\\Local\\Programs\\Python\\Python313\\Lib\\json\\decoder.py"", line 363, in raw_decode
    raise JSONDecodeError(""Expecting value"", s, err.value) from None
json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4387, in <module>
    res = backfill_company(spec, news_days=news_days)
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\backfill.py"", line 34, in backfill_company
    raw_news = fetch_news_gdelt(
        ticker=spec.ticker,
    ...<2 lines>...
        days=news_days,
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\sources_news_gdelt.py"", line 48, in fetch_news_gdelt
    data = r.json()
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\.venv\\Lib\\site-packages\\requests\\models.py"", line 980, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
requests.exceptions.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
"
2025-12-20 19:52:22,Auto backfill + train failed,Failed baseline download: SPY (spy.us),"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4326, in <module>
    dataset = build_backfill_dataset(
        tickers=tickers_auto,
    ...<3 lines>...
        cache_dir=auto_backfill_cache_dir or STOOQ_CACHE_DIR,
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\market_ai\\backfill_ai.py"", line 215, in build_backfill_dataset
    raise RuntimeError(f""Failed baseline download: {baseline} ({b_sym})"")
RuntimeError: Failed baseline download: SPY (spy.us)
"
2025-12-20 19:52:25,Backfill failed,Could not download baseline prices from Stooq for SPY (spy.us).,"Traceback (most recent call last):
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\streamlit_app.py"", line 4248, in <module>
    bdf = build_relative_strength_backfill(
        tickers=tickers,
    ...<5 lines>...
        source_tag=backfill_source_tag or ""BACKFILL"",
    )
  File ""C:\\Users\\matty\\OneDrive\\Desktop\\marketapp\\market_ai\\backfill_meta_training.py"", line 205, in build_relative_strength_backfill
    raise RuntimeError(f""Could not download baseline prices from Stooq for {baseline} ({baseline_sym})."")
RuntimeError: Could not download baseline prices from Stooq for SPY (spy.us).
"
