timestamp,asof_date,baseline,ticker,news_headlines_7d,news_sent_7d,news_intensity_7d,news_labor_hits_7d
2025-12-17 19:09:39,2025-12-19,SPY,HRL,12.0,1.0,1.0,3.0
2025-12-17 19:09:39,2025-12-19,SPY,ATO,7.0,0.333,0.583,3.0
2025-12-17 19:09:39,2025-12-19,SPY,FOX,3.0,0.0,0.25,2.0
2025-12-17 19:09:39,2025-12-19,SPY,COR,11.0,1.0,0.917,1.0
2025-12-17 19:09:39,2025-12-19,SPY,NOW,27.0,0.0,1.0,11.0
2025-12-17 19:09:39,2025-12-19,SPY,AVGO,30.0,1.0,1.0,6.0
2025-12-17 19:09:39,2025-12-19,SPY,ORCL,30.0,-1.0,1.0,4.0
2025-12-17 19:09:39,2025-12-19,SPY,COIN,27.0,-1.0,1.0,4.0
2025-12-17 19:09:39,2025-12-19,SPY,HPE,14.0,1.0,1.0,1.0
2025-12-17 19:09:39,2025-12-19,SPY,GNRC,7.0,1.0,0.583,1.0
2025-12-17 19:09:39,2025-12-19,SPY,CRWD,20.0,-0.385,1.0,21.0
2025-12-17 19:09:39,2025-12-19,SPY,ECL,18.0,1.0,1.0,1.0
2025-12-17 19:09:39,2025-12-19,SPY,DDOG,19.0,1.0,1.0,5.0
2025-12-17 19:09:39,2025-12-19,SPY,BF-B,9.0,0.0,0.75,1.0
2025-12-17 19:09:39,2025-12-19,SPY,ETN,12.0,1.0,1.0,1.0
2025-12-17 19:09:39,2025-12-19,SPY,AMD,19.0,1.0,1.0,3.0
2025-12-17 19:09:39,2025-12-19,SPY,MCD,22.0,1.0,1.0,3.0
2025-12-17 19:09:39,2025-12-19,SPY,CSGP,15.0,0.75,1.0,2.0
2025-12-17 19:09:39,2025-12-19,SPY,BLDR,13.0,0.143,1.0,5.0
2025-12-17 19:09:39,2025-12-19,SPY,CAT,16.0,1.0,1.0,1.0
2025-12-17 19:09:39,2025-12-19,SPY,EXE,8.0,0.0,0.667,3.0
2025-12-17 19:09:39,2025-12-19,SPY,CFG,12.0,0.333,1.0,1.0
2025-12-17 19:09:39,2025-12-19,SPY,BKR,5.0,1.0,0.417,0.0
2025-12-17 19:09:39,2025-12-19,SPY,DLR,14.0,1.0,1.0,3.0
2025-12-17 19:09:39,2025-12-19,SPY,EQT,10.0,1.0,0.833,2.0
2025-12-17 19:09:39,2025-12-19,SPY,CEG,15.0,1.0,1.0,5.0
2025-12-17 19:09:39,2025-12-19,SPY,CRM,13.0,-1.0,1.0,0.0
2025-12-17 19:09:39,2025-12-19,SPY,HUBB,14.0,1.0,1.0,0.0
2025-12-17 19:09:39,2025-12-19,SPY,EOG,20.0,1.0,1.0,6.0
2025-12-17 19:09:39,2025-12-19,SPY,FICO,4.0,1.0,0.333,1.0
2025-12-17 19:10:30,2025-12-19,SPY,HRL,12,1.0,1.0,3
2025-12-17 19:10:30,2025-12-19,SPY,ATO,7,0.333,0.583,3
2025-12-17 19:10:30,2025-12-19,SPY,FOX,3,0.0,0.25,2
2025-12-17 19:10:30,2025-12-19,SPY,COR,11,1.0,0.917,1
2025-12-17 19:10:30,2025-12-19,SPY,NOW,27,0.0,1.0,11
2025-12-17 19:10:30,2025-12-19,SPY,AVGO,30,1.0,1.0,6
2025-12-17 19:10:30,2025-12-19,SPY,ORCL,30,-1.0,1.0,4
2025-12-17 19:10:30,2025-12-19,SPY,COIN,27,-1.0,1.0,4
2025-12-17 19:10:30,2025-12-19,SPY,GNRC,7,1.0,0.583,1
2025-12-17 19:10:30,2025-12-19,SPY,HPE,14,1.0,1.0,1
2025-12-17 19:10:30,2025-12-19,SPY,DDOG,19,1.0,1.0,5
2025-12-17 19:10:30,2025-12-19,SPY,CRWD,20,-0.385,1.0,21
2025-12-17 19:10:30,2025-12-19,SPY,ECL,18,1.0,1.0,1
2025-12-17 19:10:30,2025-12-19,SPY,AMD,19,1.0,1.0,3
2025-12-17 19:10:30,2025-12-19,SPY,BF-B,9,0.0,0.75,1
2025-12-17 19:10:30,2025-12-19,SPY,ETN,12,1.0,1.0,1
2025-12-17 19:10:30,2025-12-19,SPY,MCD,22,1.0,1.0,3
2025-12-17 19:10:30,2025-12-19,SPY,CSGP,15,0.75,1.0,2
2025-12-17 19:10:30,2025-12-19,SPY,BLDR,13,0.143,1.0,5
2025-12-17 19:10:30,2025-12-19,SPY,CAT,16,1.0,1.0,1
2025-12-17 19:10:30,2025-12-19,SPY,EXE,8,0.0,0.667,3
2025-12-17 19:10:30,2025-12-19,SPY,CFG,12,0.333,1.0,1
2025-12-17 19:10:30,2025-12-19,SPY,BKR,5,1.0,0.417,0
2025-12-17 19:10:30,2025-12-19,SPY,HUBB,14,1.0,1.0,0
2025-12-17 19:10:30,2025-12-19,SPY,DLR,14,1.0,1.0,3
2025-12-17 19:10:30,2025-12-19,SPY,EQT,10,1.0,0.833,2
2025-12-17 19:10:30,2025-12-19,SPY,CEG,15,1.0,1.0,5
