timestamp,Ticker,Action,Confidence,AI_Prob_Outperform_%,ThesisLiteScore,RS_1w_vs_SPY_%,RS_4w_vs_SPY_%,WeeklyVol_%,AvgVol_20d,LastPrice,JanScore,LaborExposure,EarningsDate,DaysToEarnings,EarningsRisk,SplitRisk,Why
2025-12-17 17:28:35,APO,WATCH,Low,48.5,8.1,0.36,10.78,3.46,3056451,147.95,0,5.0,RS 4w vs SPY: +10.78% | RS 1w vs SPY: +0.36% | Trend: above MA20 ✅ | Volatility: 3.5% | Labor exposure: 5.0/10 | AI: 48.5% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,APTV,WATCH,Low,49.9,1.3,-2.65,-0.0,4.9,2100227,76.36,0,5.0,RS 4w vs SPY: -0.00% | RS 1w vs SPY: -2.65% | Trend: below MA20 ⚠️ | Volatility: 4.9% | Labor exposure: 5.0/10 | AI: 49.9% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,ARE,WATCH,Low,49.6,3.25,2.01,-9.91,6.9,3064301,47.38,0,5.0,RS 4w vs SPY: -9.91% | RS 1w vs SPY: +2.01% | Trend: below MA20 ⚠️ | Volatility: 6.9% | Labor exposure: 5.0/10 | AI: 49.6% chance to beat SPY next week | ThesisLiteScore: 3.25/10
2025-12-17 17:28:35,ATO,WATCH,Low,62.9,2.02,-34.34,-12.86,13.95,8273,0.18,0,5.0,RS 4w vs SPY: -12.86% | RS 1w vs SPY: -34.34% | Trend: above MA20 ✅ | Volatility: 14.0% | Labor exposure: 5.0/10 | AI: 62.9% chance to beat SPY next week | ThesisLiteScore: 2.02/10
2025-12-17 17:28:35,AVB,WATCH,Low,48.7,4.5,2.19,-3.37,1.96,1052396,180.03,0,5.0,RS 4w vs SPY: -3.37% | RS 1w vs SPY: +2.19% | Trend: above MA20 ✅ | Volatility: 2.0% | Labor exposure: 5.0/10 | AI: 48.7% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,AVGO,WATCH,Low,51.5,1.05,-9.43,-7.63,10.12,34277831,324.48,0,5.0,RS 4w vs SPY: -7.63% | RS 1w vs SPY: -9.43% | Trend: below MA20 ⚠️ | Volatility: 10.1% | Labor exposure: 5.0/10 | AI: 51.5% chance to beat SPY next week | ThesisLiteScore: 1.05/10
2025-12-17 17:28:35,AVY,WATCH,Low,48.7,8.1,1.04,4.78,3.35,753343,183.73,0,5.0,RS 4w vs SPY: +4.78% | RS 1w vs SPY: +1.04% | Trend: above MA20 ✅ | Volatility: 3.4% | Labor exposure: 5.0/10 | AI: 48.7% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,AWK,WATCH,Low,48.7,4.5,2.1,-2.25,2.88,2301614,133.75,0,5.0,RS 4w vs SPY: -2.25% | RS 1w vs SPY: +2.10% | Trend: above MA20 ✅ | Volatility: 2.9% | Labor exposure: 5.0/10 | AI: 48.7% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,AXON,WATCH,Low,49.4,6.1,-0.94,3.61,3.58,762637,556.56,0,5.0,RS 4w vs SPY: +3.61% | RS 1w vs SPY: -0.94% | Trend: above MA20 ✅ | Volatility: 3.6% | Labor exposure: 5.0/10 | AI: 49.4% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,AXP,WATCH,Low,49.1,6.1,-0.8,4.07,3.11,2301007,377.87,0,5.0,RS 4w vs SPY: +4.07% | RS 1w vs SPY: -0.80% | Trend: above MA20 ✅ | Volatility: 3.1% | Labor exposure: 5.0/10 | AI: 49.1% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,AZO,WATCH,Low,49.9,1.3,-0.31,-15.26,4.63,151896,3420.43,0,5.0,RS 4w vs SPY: -15.26% | RS 1w vs SPY: -0.31% | Trend: below MA20 ⚠️ | Volatility: 4.6% | Labor exposure: 5.0/10 | AI: 49.9% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,BA,WATCH,Low,48.1,8.09,2.59,13.19,6.23,9484407,208.81,0,5.0,RS 4w vs SPY: +13.19% | RS 1w vs SPY: +2.59% | Trend: above MA20 ✅ | Volatility: 6.2% | Labor exposure: 5.0/10 | AI: 48.1% chance to beat SPY next week | ThesisLiteScore: 8.09/10
2025-12-17 17:28:35,BAC,WATCH,Low,49.3,3.3,0.42,-3.33,3.85,7184,3.1,0,5.0,RS 4w vs SPY: -3.33% | RS 1w vs SPY: +0.42% | Trend: below MA20 ⚠️ | Volatility: 3.9% | Labor exposure: 5.0/10 | AI: 49.3% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,BALL,WATCH,Low,48.5,8.1,2.79,1.49,3.95,2721343,52.12,0,5.0,RS 4w vs SPY: +1.49% | RS 1w vs SPY: +2.79% | Trend: above MA20 ✅ | Volatility: 4.0% | Labor exposure: 5.0/10 | AI: 48.5% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,BAX,WATCH,Low,48.9,8.1,0.92,2.1,4.65,7990746,19.25,0,5.0,RS 4w vs SPY: +2.10% | RS 1w vs SPY: +0.92% | Trend: above MA20 ✅ | Volatility: 4.7% | Labor exposure: 5.0/10 | AI: 48.9% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,BBY,WATCH,Low,49.8,1.3,-0.9,-8.19,4.59,4763064,72.49,0,5.0,RS 4w vs SPY: -8.19% | RS 1w vs SPY: -0.90% | Trend: below MA20 ⚠️ | Volatility: 4.6% | Labor exposure: 5.0/10 | AI: 49.8% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,BDX,WATCH,Low,48.9,6.1,-0.46,6.18,5.34,54955,627.0,0,5.0,RS 4w vs SPY: +6.18% | RS 1w vs SPY: -0.46% | Trend: above MA20 ✅ | Volatility: 5.3% | Labor exposure: 5.0/10 | AI: 48.9% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,BEN,WATCH,Low,48.5,8.1,1.62,6.58,2.43,3662330,23.76,0,5.0,RS 4w vs SPY: +6.58% | RS 1w vs SPY: +1.62% | Trend: above MA20 ✅ | Volatility: 2.4% | Labor exposure: 5.0/10 | AI: 48.5% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,BF-B,WATCH,Low,50.6,1.3,-6.26,-2.11,4.41,4943578,28.7,0,5.0,RS 4w vs SPY: -2.11% | RS 1w vs SPY: -6.26% | Trend: below MA20 ⚠️ | Volatility: 4.4% | Labor exposure: 5.0/10 | AI: 50.6% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,BG,WATCH,Low,49.3,3.3,0.52,-4.76,3.06,1259500,92.93,0,5.0,RS 4w vs SPY: -4.76% | RS 1w vs SPY: +0.52% | Trend: below MA20 ⚠️ | Volatility: 3.1% | Labor exposure: 5.0/10 | AI: 49.3% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,BIIB,WATCH,Low,49.2,1.3,-0.14,-4.26,3.95,1881595,173.12,0,5.0,RS 4w vs SPY: -4.26% | RS 1w vs SPY: -0.14% | Trend: below MA20 ⚠️ | Volatility: 4.0% | Labor exposure: 5.0/10 | AI: 49.2% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,BK,WATCH,Low,49.4,6.1,-2.26,4.0,2.42,3336374,113.89,0,5.0,RS 4w vs SPY: +4.00% | RS 1w vs SPY: -2.26% | Trend: above MA20 ✅ | Volatility: 2.4% | Labor exposure: 5.0/10 | AI: 49.4% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,BKNG,WATCH,Low,48.3,8.1,1.99,9.92,4.45,294662,5384.56,0,5.0,RS 4w vs SPY: +9.92% | RS 1w vs SPY: +1.99% | Trend: above MA20 ✅ | Volatility: 4.5% | Labor exposure: 5.0/10 | AI: 48.3% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,BKR,WATCH,Low,50.4,1.3,-3.55,-10.95,3.72,6772074,45.0,0,5.0,RS 4w vs SPY: -10.95% | RS 1w vs SPY: -3.55% | Trend: below MA20 ⚠️ | Volatility: 3.7% | Labor exposure: 5.0/10 | AI: 50.4% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,BLDR,WATCH,Low,50.4,1.23,-4.67,-1.7,7.23,1997024,102.95,0,5.0,RS 4w vs SPY: -1.70% | RS 1w vs SPY: -4.67% | Trend: below MA20 ⚠️ | Volatility: 7.2% | Labor exposure: 5.0/10 | AI: 50.4% chance to beat SPY next week | ThesisLiteScore: 1.23/10
2025-12-17 17:28:35,BLK,WATCH,Low,49.2,6.1,-0.88,2.92,3.14,645997,1074.92,0,5.0,RS 4w vs SPY: +2.92% | RS 1w vs SPY: -0.88% | Trend: above MA20 ✅ | Volatility: 3.1% | Labor exposure: 5.0/10 | AI: 49.2% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,BMY,WATCH,Low,47.6,8.1,4.06,14.43,4.55,15081313,54.31,0,5.0,RS 4w vs SPY: +14.43% | RS 1w vs SPY: +4.06% | Trend: above MA20 ✅ | Volatility: 4.5% | Labor exposure: 5.0/10 | AI: 47.6% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,BR,WATCH,Low,49.1,4.5,0.53,-2.17,2.1,668480,230.31,0,5.0,RS 4w vs SPY: -2.17% | RS 1w vs SPY: +0.53% | Trend: above MA20 ✅ | Volatility: 2.1% | Labor exposure: 5.0/10 | AI: 49.1% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,BRK-B,WATCH,Low,49.1,3.3,1.1,-3.24,1.81,4647722,502.88,0,5.0,RS 4w vs SPY: -3.24% | RS 1w vs SPY: +1.10% | Trend: below MA20 ⚠️ | Volatility: 1.8% | Labor exposure: 5.0/10 | AI: 49.1% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,BRO,WATCH,Low,46.6,4.35,11.54,-3.01,8.45,3257,0.1,0,5.0,RS 4w vs SPY: -3.01% | RS 1w vs SPY: +11.54% | Trend: above MA20 ✅ | Volatility: 8.5% | Labor exposure: 5.0/10 | AI: 46.6% chance to beat SPY next week | ThesisLiteScore: 4.35/10
2025-12-17 17:28:35,BSX,WATCH,Low,48.8,3.3,3.08,-4.91,3.52,10067459,95.04,0,5.0,RS 4w vs SPY: -4.91% | RS 1w vs SPY: +3.08% | Trend: below MA20 ⚠️ | Volatility: 3.5% | Labor exposure: 5.0/10 | AI: 48.8% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,BX,WATCH,Low,48.6,8.1,1.56,4.16,3.2,3832966,152.91,0,5.0,RS 4w vs SPY: +4.16% | RS 1w vs SPY: +1.56% | Trend: above MA20 ✅ | Volatility: 3.2% | Labor exposure: 5.0/10 | AI: 48.6% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,BXP,WATCH,Low,49.7,1.3,-1.94,-3.46,2.82,1185850,69.72,0,5.0,RS 4w vs SPY: -3.46% | RS 1w vs SPY: -1.94% | Trend: below MA20 ⚠️ | Volatility: 2.8% | Labor exposure: 5.0/10 | AI: 49.7% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,C,WATCH,Low,48.5,8.1,0.39,10.22,2.64,11547708,111.76,0,5.0,RS 4w vs SPY: +10.22% | RS 1w vs SPY: +0.39% | Trend: above MA20 ✅ | Volatility: 2.6% | Labor exposure: 5.0/10 | AI: 48.5% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,CAG,WATCH,Low,48.8,4.5,1.69,-1.86,2.67,9018438,17.98,0,5.0,RS 4w vs SPY: -1.86% | RS 1w vs SPY: +1.69% | Trend: above MA20 ✅ | Volatility: 2.7% | Labor exposure: 5.0/10 | AI: 48.8% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CAH,WATCH,Low,49.4,3.3,0.14,-8.67,2.12,2304449,197.62,0,5.0,RS 4w vs SPY: -8.67% | RS 1w vs SPY: +0.14% | Trend: below MA20 ⚠️ | Volatility: 2.1% | Labor exposure: 5.0/10 | AI: 49.4% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,CARR,WATCH,Low,49.6,1.3,-0.85,-3.29,4.25,8488552,52.27,0,5.0,RS 4w vs SPY: -3.29% | RS 1w vs SPY: -0.85% | Trend: below MA20 ⚠️ | Volatility: 4.3% | Labor exposure: 5.0/10 | AI: 49.6% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CAT,WATCH,Low,50.4,1.3,-5.81,-1.16,4.68,2569474,560.61,0,5.0,RS 4w vs SPY: -1.16% | RS 1w vs SPY: -5.81% | Trend: below MA20 ⚠️ | Volatility: 4.7% | Labor exposure: 5.0/10 | AI: 50.4% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CB,WATCH,Low,48.6,8.1,1.63,1.65,2.32,1826366,312.18,0,5.0,RS 4w vs SPY: +1.65% | RS 1w vs SPY: +1.63% | Trend: above MA20 ✅ | Volatility: 2.3% | Labor exposure: 5.0/10 | AI: 48.6% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,CBOE,WATCH,Low,49.3,3.3,0.19,-3.07,2.37,701235,252.44,0,5.0,RS 4w vs SPY: -3.07% | RS 1w vs SPY: +0.19% | Trend: below MA20 ⚠️ | Volatility: 2.4% | Labor exposure: 5.0/10 | AI: 49.3% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,CBRE,WATCH,Low,48.9,4.5,0.91,-0.73,3.41,1399277,160.36,0,5.0,RS 4w vs SPY: -0.73% | RS 1w vs SPY: +0.91% | Trend: above MA20 ✅ | Volatility: 3.4% | Labor exposure: 5.0/10 | AI: 48.9% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CCI,WATCH,Low,49.8,1.3,-1.91,-4.31,2.7,2671117,88.84,0,5.0,RS 4w vs SPY: -4.31% | RS 1w vs SPY: -1.91% | Trend: below MA20 ⚠️ | Volatility: 2.7% | Labor exposure: 5.0/10 | AI: 49.8% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CCL,WATCH,Low,48.4,8.07,2.8,3.45,6.46,19680644,28.27,0,5.0,RS 4w vs SPY: +3.45% | RS 1w vs SPY: +2.80% | Trend: above MA20 ✅ | Volatility: 6.5% | Labor exposure: 5.0/10 | AI: 48.4% chance to beat SPY next week | ThesisLiteScore: 8.07/10
2025-12-17 17:28:35,CDNS,WATCH,Low,49.8,4.9,-2.73,1.13,4.32,1546748,313.04,0,5.0,RS 4w vs SPY: +1.13% | RS 1w vs SPY: -2.73% | Trend: below MA20 ⚠️ | Volatility: 4.3% | Labor exposure: 5.0/10 | AI: 49.8% chance to beat SPY next week | ThesisLiteScore: 4.90/10
2025-12-17 17:28:35,CDW,WATCH,Low,49.5,1.3,-1.0,-1.11,2.99,1258800,142.87,0,5.0,RS 4w vs SPY: -1.11% | RS 1w vs SPY: -1.00% | Trend: below MA20 ⚠️ | Volatility: 3.0% | Labor exposure: 5.0/10 | AI: 49.5% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CEG,WATCH,Low,49.9,1.21,-2.58,-2.04,7.45,2246439,341.39,0,5.0,RS 4w vs SPY: -2.04% | RS 1w vs SPY: -2.58% | Trend: below MA20 ⚠️ | Volatility: 7.4% | Labor exposure: 5.0/10 | AI: 49.9% chance to beat SPY next week | ThesisLiteScore: 1.21/10
2025-12-17 17:28:35,CF,WATCH,Low,49.1,4.5,0.46,-2.14,3.53,2386670,79.22,0,5.0,RS 4w vs SPY: -2.14% | RS 1w vs SPY: +0.46% | Trend: above MA20 ✅ | Volatility: 3.5% | Labor exposure: 5.0/10 | AI: 49.1% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CFG,WATCH,Low,49.7,3.22,0.42,-12.67,7.3,804,1.87,0,5.0,RS 4w vs SPY: -12.67% | RS 1w vs SPY: +0.42% | Trend: below MA20 ⚠️ | Volatility: 7.3% | Labor exposure: 5.0/10 | AI: 49.7% chance to beat SPY next week | ThesisLiteScore: 3.22/10
2025-12-17 17:28:35,CHD,WATCH,Low,48.4,8.1,2.99,0.28,2.93,2549011,86.78,0,5.0,RS 4w vs SPY: +0.28% | RS 1w vs SPY: +2.99% | Trend: above MA20 ✅ | Volatility: 2.9% | Labor exposure: 5.0/10 | AI: 48.4% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,CHRW,WATCH,Low,48.6,8.1,1.47,1.64,3.38,1315038,158.74,0,5.0,RS 4w vs SPY: +1.64% | RS 1w vs SPY: +1.47% | Trend: above MA20 ✅ | Volatility: 3.4% | Labor exposure: 5.0/10 | AI: 48.6% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,CHTR,WATCH,Low,48.7,8.1,2.61,0.99,4.23,1632901,211.12,0,5.0,RS 4w vs SPY: +0.99% | RS 1w vs SPY: +2.61% | Trend: above MA20 ✅ | Volatility: 4.2% | Labor exposure: 5.0/10 | AI: 48.7% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,CI,WATCH,Low,49.1,4.5,0.64,-4.01,3.41,1619815,275.3,0,5.0,RS 4w vs SPY: -4.01% | RS 1w vs SPY: +0.64% | Trend: above MA20 ✅ | Volatility: 3.4% | Labor exposure: 5.0/10 | AI: 49.1% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CINF,WATCH,Low,49.0,4.5,0.71,-2.82,1.88,505924,166.34,0,5.0,RS 4w vs SPY: -2.82% | RS 1w vs SPY: +0.71% | Trend: above MA20 ✅ | Volatility: 1.9% | Labor exposure: 5.0/10 | AI: 49.0% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CL,WATCH,Low,48.9,4.5,2.06,-4.63,2.89,5785133,79.62,0,5.0,RS 4w vs SPY: -4.63% | RS 1w vs SPY: +2.06% | Trend: above MA20 ✅ | Volatility: 2.9% | Labor exposure: 5.0/10 | AI: 48.9% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CLX,WATCH,Low,50.0,1.3,-2.09,-5.44,3.84,2208312,101.39,0,5.0,RS 4w vs SPY: -5.44% | RS 1w vs SPY: -2.09% | Trend: below MA20 ⚠️ | Volatility: 3.8% | Labor exposure: 5.0/10 | AI: 50.0% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CMCSA,WATCH,Low,46.8,8.1,9.72,5.8,4.69,36036872,29.76,0,5.0,RS 4w vs SPY: +5.80% | RS 1w vs SPY: +9.72% | Trend: above MA20 ✅ | Volatility: 4.7% | Labor exposure: 5.0/10 | AI: 46.8% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,CME,WATCH,Low,49.3,3.3,0.34,-2.93,2.37,1925917,273.31,0,5.0,RS 4w vs SPY: -2.93% | RS 1w vs SPY: +0.34% | Trend: below MA20 ⚠️ | Volatility: 2.4% | Labor exposure: 5.0/10 | AI: 49.3% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,CMG,WATCH,Low,48.0,8.1,3.14,14.35,5.22,18886625,37.12,0,5.0,RS 4w vs SPY: +14.35% | RS 1w vs SPY: +3.14% | Trend: above MA20 ✅ | Volatility: 5.2% | Labor exposure: 5.0/10 | AI: 48.0% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,CMI,WATCH,Low,49.2,3.17,1.35,-3.92,8.09,125,10.9,0,5.0,RS 4w vs SPY: -3.92% | RS 1w vs SPY: +1.35% | Trend: below MA20 ⚠️ | Volatility: 8.1% | Labor exposure: 5.0/10 | AI: 49.2% chance to beat SPY next week | ThesisLiteScore: 3.17/10
2025-12-17 17:28:35,CMS,WATCH,Low,49.4,3.3,0.74,-8.39,2.25,2016140,70.06,0,5.0,RS 4w vs SPY: -8.39% | RS 1w vs SPY: +0.74% | Trend: below MA20 ⚠️ | Volatility: 2.3% | Labor exposure: 5.0/10 | AI: 49.4% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,CNC,WATCH,Low,50.0,6.1,-4.89,2.96,6.01,6979494,38.68,0,5.0,RS 4w vs SPY: +2.96% | RS 1w vs SPY: -4.89% | Trend: above MA20 ✅ | Volatility: 6.0% | Labor exposure: 5.0/10 | AI: 50.0% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,CNP,WATCH,Low,49.2,3.3,1.07,-6.74,2.09,4464991,38.09,0,5.0,RS 4w vs SPY: -6.74% | RS 1w vs SPY: +1.07% | Trend: below MA20 ⚠️ | Volatility: 2.1% | Labor exposure: 5.0/10 | AI: 49.2% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,COF,WATCH,Low,48.4,8.1,0.99,12.07,2.37,3650746,239.22,0,5.0,RS 4w vs SPY: +12.07% | RS 1w vs SPY: +0.99% | Trend: above MA20 ✅ | Volatility: 2.4% | Labor exposure: 5.0/10 | AI: 48.4% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,COIN,WATCH,Low,50.6,4.79,-5.46,1.69,7.85,9007628,251.71,0,5.0,RS 4w vs SPY: +1.69% | RS 1w vs SPY: -5.46% | Trend: below MA20 ⚠️ | Volatility: 7.9% | Labor exposure: 5.0/10 | AI: 50.6% chance to beat SPY next week | ThesisLiteScore: 4.79/10
2025-12-17 17:28:35,COO,WATCH,Low,48.4,8.1,1.59,7.02,5.43,3606031,83.04,0,5.0,RS 4w vs SPY: +7.02% | RS 1w vs SPY: +1.59% | Trend: above MA20 ✅ | Volatility: 5.4% | Labor exposure: 5.0/10 | AI: 48.4% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,COP,WATCH,Low,49.2,6.1,-1.49,4.25,4.12,6710426,93.72,0,5.0,RS 4w vs SPY: +4.25% | RS 1w vs SPY: -1.49% | Trend: above MA20 ✅ | Volatility: 4.1% | Labor exposure: 5.0/10 | AI: 49.2% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,COR,WATCH,Low,51.6,0.9,-4.15,-19.51,12.62,88636,0.33,0,5.0,RS 4w vs SPY: -19.51% | RS 1w vs SPY: -4.15% | Trend: below MA20 ⚠️ | Volatility: 12.6% | Labor exposure: 5.0/10 | AI: 51.6% chance to beat SPY next week | ThesisLiteScore: 0.90/10
2025-12-17 17:28:35,COST,WATCH,Low,49.9,1.3,-1.98,-6.99,2.67,2754506,863.23,0,5.0,RS 4w vs SPY: -6.99% | RS 1w vs SPY: -1.98% | Trend: below MA20 ⚠️ | Volatility: 2.7% | Labor exposure: 5.0/10 | AI: 49.9% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CPAY,WATCH,Low,49.2,6.1,-1.7,4.11,4.1,560818,309.38,0,5.0,RS 4w vs SPY: +4.11% | RS 1w vs SPY: -1.70% | Trend: above MA20 ✅ | Volatility: 4.1% | Labor exposure: 5.0/10 | AI: 49.2% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,CPB,WATCH,Low,49.4,3.3,1.33,-11.41,4.17,7275139,29.0,0,5.0,RS 4w vs SPY: -11.41% | RS 1w vs SPY: +1.33% | Trend: below MA20 ⚠️ | Volatility: 4.2% | Labor exposure: 5.0/10 | AI: 49.4% chance to beat SPY next week | ThesisLiteScore: 3.30/10
2025-12-17 17:28:35,CPRT,WATCH,Low,49.0,4.5,1.91,-6.66,2.78,8986121,39.24,0,5.0,RS 4w vs SPY: -6.66% | RS 1w vs SPY: +1.91% | Trend: above MA20 ✅ | Volatility: 2.8% | Labor exposure: 5.0/10 | AI: 49.0% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CPT,WATCH,Low,48.7,4.5,2.16,-2.24,1.93,1415326,106.04,0,5.0,RS 4w vs SPY: -2.24% | RS 1w vs SPY: +2.16% | Trend: above MA20 ✅ | Volatility: 1.9% | Labor exposure: 5.0/10 | AI: 48.7% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CRL,WATCH,Low,47.9,8.1,3.02,15.13,4.76,778182,198.05,0,5.0,RS 4w vs SPY: +15.13% | RS 1w vs SPY: +3.02% | Trend: above MA20 ✅ | Volatility: 4.8% | Labor exposure: 5.0/10 | AI: 47.9% chance to beat SPY next week | ThesisLiteScore: 8.10/10
2025-12-17 17:28:35,CRM,WATCH,Low,50.0,1.21,-1.47,-9.47,7.55,86373,0.36,0,5.0,RS 4w vs SPY: -9.47% | RS 1w vs SPY: -1.47% | Trend: below MA20 ⚠️ | Volatility: 7.6% | Labor exposure: 5.0/10 | AI: 50.0% chance to beat SPY next week | ThesisLiteScore: 1.21/10
2025-12-17 17:28:35,CRWD,WATCH,Low,50.6,1.3,-5.35,-6.08,4.46,2380672,475.61,0,5.0,RS 4w vs SPY: -6.08% | RS 1w vs SPY: -5.35% | Trend: below MA20 ⚠️ | Volatility: 4.5% | Labor exposure: 5.0/10 | AI: 50.6% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CSCO,WATCH,Low,49.5,1.3,-1.34,-2.58,2.95,17298348,76.42,0,5.0,RS 4w vs SPY: -2.58% | RS 1w vs SPY: -1.34% | Trend: below MA20 ⚠️ | Volatility: 2.9% | Labor exposure: 5.0/10 | AI: 49.5% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CSGP,WATCH,Low,50.7,1.3,-5.29,-7.35,4.67,3895485,64.33,0,5.0,RS 4w vs SPY: -7.35% | RS 1w vs SPY: -5.29% | Trend: below MA20 ⚠️ | Volatility: 4.7% | Labor exposure: 5.0/10 | AI: 50.7% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CSX,WATCH,Low,49.4,6.1,-2.04,3.38,2.41,12073673,36.47,0,5.0,RS 4w vs SPY: +3.38% | RS 1w vs SPY: -2.04% | Trend: above MA20 ✅ | Volatility: 2.4% | Labor exposure: 5.0/10 | AI: 49.4% chance to beat SPY next week | ThesisLiteScore: 6.10/10
2025-12-17 17:28:35,CTAS,WATCH,Low,49.0,4.5,0.63,-1.87,2.3,2014779,187.93,0,5.0,RS 4w vs SPY: -1.87% | RS 1w vs SPY: +0.63% | Trend: above MA20 ✅ | Volatility: 2.3% | Labor exposure: 5.0/10 | AI: 49.0% chance to beat SPY next week | ThesisLiteScore: 4.50/10
2025-12-17 17:28:35,CTRA,WATCH,Low,49.7,1.3,-2.01,-3.48,4.05,6138849,25.63,0,5.0,RS 4w vs SPY: -3.48% | RS 1w vs SPY: -2.01% | Trend: below MA20 ⚠️ | Volatility: 4.1% | Labor exposure: 5.0/10 | AI: 49.7% chance to beat SPY next week | ThesisLiteScore: 1.30/10
2025-12-17 17:28:35,CTSH,WATCH,Low,48.3,8.1,1.41,8.56,3.06,4396383,84.77,0,5.0,RS 4w vs SPY: +8.56% | RS 1w vs SPY: +1.41% | Trend: above MA20 ✅ | Volatility: 3.1% | Labor exposure: 5.0/10 | AI: 48.3% chance to beat SPY next week | ThesisLiteScore: 8.10/10
